epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
249,1.126,0.494,1.282,0.895,0.937,0.946,0.598
250,1.124,0.490,1.280,0.893,0.939,0.946,0.598
251,1.123,0.491,1.280,0.893,0.939,0.946,0.598
252,1.129,0.492,1.286,0.894,0.938,0.946,0.598
253,1.127,0.492,1.284,0.894,0.938,0.945,0.598
254,1.124,0.489,1.282,0.895,0.937,0.945,0.597
255,1.121,0.487,1.279,0.894,0.937,0.946,0.597
256,1.119,0.489,1.276,0.894,0.937,0.945,0.597
257,1.117,0.488,1.274,0.895,0.936,0.945,0.597
258,1.116,0.488,1.275,0.895,0.937,0.945,0.597
259,1.114,0.484,1.277,0.894,0.936,0.945,0.597
260,1.116,0.487,1.277,0.894,0.936,0.945,0.596
261,1.115,0.487,1.278,0.894,0.937,0.945,0.596
262,1.112,0.487,1.270,0.893,0.938,0.945,0.596
263,1.111,0.484,1.275,0.894,0.938,0.945,0.596
264,1.106,0.480,1.269,0.894,0.938,0.945,0.595
265,1.105,0.480,1.270,0.894,0.939,0.944,0.595
266,1.103,0.479,1.267,0.894,0.939,0.945,0.595
267,1.099,0.475,1.268,0.894,0.939,0.944,0.596
268,1.105,0.477,1.273,0.894,0.939,0.944,0.595
269,1.099,0.477,1.262,0.896,0.939,0.945,0.595
270,1.092,0.474,1.263,0.894,0.939,0.944,0.595
271,1.096,0.474,1.264,0.894,0.940,0.944,0.595
272,1.092,0.474,1.264,0.894,0.940,0.945,0.595
273,1.091,0.471,1.263,0.894,0.940,0.944,0.595
274,1.091,0.471,1.260,0.895,0.940,0.945,0.595
275,1.085,0.466,1.260,0.895,0.940,0.945,0.595
276,1.084,0.471,1.256,0.895,0.939,0.945,0.595
277,1.086,0.468,1.258,0.893,0.940,0.944,0.595
278,1.088,0.471,1.257,0.894,0.940,0.945,0.595
279,1.077,0.467,1.256,0.893,0.939,0.944,0.595
280,1.074,0.465,1.248,0.894,0.937,0.944,0.594
281,1.076,0.465,1.250,0.895,0.936,0.944,0.595
282,1.078,0.464,1.250,0.894,0.935,0.944,0.595
283,1.073,0.460,1.250,0.894,0.935,0.944,0.595
284,1.068,0.462,1.247,0.893,0.934,0.944,0.595
285,1.065,0.459,1.244,0.893,0.935,0.944,0.595
286,1.067,0.459,1.244,0.892,0.935,0.943,0.595
287,1.066,0.456,1.243,0.892,0.935,0.943,0.594
288,1.062,0.456,1.244,0.891,0.937,0.943,0.594
289,1.058,0.458,1.240,0.891,0.936,0.942,0.594
290,1.063,0.456,1.244,0.890,0.935,0.942,0.593
291,1.035,0.430,1.304,0.890,0.936,0.942,0.592
292,1.019,0.423,1.295,0.892,0.933,0.942,0.593
293,1.020,0.424,1.301,0.891,0.934,0.942,0.592
294,1.010,0.421,1.291,0.891,0.935,0.942,0.593
295,1.009,0.421,1.288,0.891,0.935,0.942,0.592
296,1.002,0.416,1.280,0.891,0.935,0.942,0.592
297,0.997,0.417,1.280,0.889,0.938,0.942,0.592
298,0.991,0.412,1.276,0.888,0.938,0.942,0.591
299,0.987,0.409,1.271,0.889,0.937,0.941,0.592
300,0.983,0.407,1.270,0.889,0.937,0.941,0.591
